# Figura 3: Modelo Bifásico de Degradação
# t(dias),Mn(kg/mol),Mn/Mn0,Xc_aparente,Fase
0,180.00,1.0000,0.550,Fase1_Amorfa
1,179.90,0.9994,0.550,Fase1_Amorfa
2,179.68,0.9982,0.551,Fase1_Amorfa
3,179.35,0.9964,0.551,Fase1_Amorfa
4,178.94,0.9941,0.552,Fase1_Amorfa
5,178.45,0.9914,0.553,Fase1_Amorfa
6,177.89,0.9883,0.554,Fase1_Amorfa
7,177.28,0.9849,0.555,Fase1_Amorfa
8,176.63,0.9813,0.556,Fase1_Amorfa
9,175.94,0.9775,0.557,Fase1_Amorfa
10,175.22,0.9735,0.558,Fase1_Amorfa
11,174.48,0.9693,0.559,Fase1_Amorfa
12,173.72,0.9651,0.560,Fase1_Amorfa
13,172.94,0.9608,0.562,Fase1_Amorfa
14,172.15,0.9564,0.563,Fase1_Amorfa
15,171.35,0.9519,0.564,Fase1_Amorfa
16,170.55,0.9475,0.566,Fase1_Amorfa
17,169.74,0.9430,0.567,Fase1_Amorfa
18,168.93,0.9385,0.568,Fase1_Amorfa
19,168.13,0.9340,0.570,Fase1_Amorfa
20,167.32,0.9296,0.571,Fase1_Amorfa
21,166.52,0.9251,0.572,Fase1_Amorfa
22,165.73,0.9207,0.574,Fase1_Amorfa
23,164.94,0.9163,0.575,Fase1_Amorfa
24,164.15,0.9119,0.576,Fase1_Amorfa
25,163.37,0.9076,0.578,Fase1_Amorfa
26,162.60,0.9033,0.579,Fase1_Amorfa
27,161.83,0.8991,0.580,Fase1_Amorfa
28,161.07,0.8949,0.582,Fase1_Amorfa
29,160.32,0.8907,0.583,Fase1_Amorfa
30,159.58,0.8866,0.584,Fase1_Amorfa
31,158.85,0.8825,0.585,Fase1_Amorfa
32,158.12,0.8784,0.586,Fase1_Amorfa
33,157.40,0.8745,0.588,Fase1_Amorfa
34,156.69,0.8705,0.589,Fase1_Amorfa
35,155.99,0.8666,0.590,Fase1_Amorfa
36,155.29,0.8627,0.591,Fase1_Amorfa
37,154.61,0.8589,0.592,Fase1_Amorfa
38,153.93,0.8552,0.593,Fase1_Amorfa
39,153.26,0.8514,0.595,Fase1_Amorfa
40,152.59,0.8477,0.596,Fase1_Amorfa
41,151.94,0.8441,0.597,Fase1_Amorfa
42,151.29,0.8405,0.598,Fase1_Amorfa
43,150.65,0.8369,0.599,Fase1_Amorfa
44,150.02,0.8334,0.600,Fase1_Amorfa
45,149.39,0.8299,0.601,Fase1_Amorfa
46,148.77,0.8265,0.602,Fase1_Amorfa
47,148.16,0.8231,0.603,Fase1_Amorfa
48,147.56,0.8198,0.604,Fase1_Amorfa
49,146.96,0.8164,0.605,Fase1_Amorfa
50,146.37,0.8132,0.606,Fase1_Amorfa
51,145.79,0.8099,0.607,Fase1_Amorfa
52,145.21,0.8067,0.608,Fase1_Amorfa
53,144.64,0.8035,0.609,Fase1_Amorfa
54,144.07,0.8004,0.610,Fase1_Amorfa
55,143.52,0.7973,0.611,Fase1_Amorfa
56,142.97,0.7943,0.612,Fase1_Amorfa
57,142.42,0.7912,0.613,Fase1_Amorfa
58,141.88,0.7882,0.614,Fase1_Amorfa
59,141.35,0.7853,0.614,Fase1_Amorfa
60,140.82,0.7823,0.615,Fase1_Amorfa
61,140.30,0.7794,0.616,Fase1_Amorfa
62,139.78,0.7766,0.617,Fase1_Amorfa
63,139.27,0.7737,0.618,Fase1_Amorfa
64,138.77,0.7709,0.619,Fase1_Amorfa
65,138.27,0.7681,0.620,Fase1_Amorfa
66,137.77,0.7654,0.620,Fase1_Amorfa
67,137.28,0.7627,0.621,Fase1_Amorfa
68,136.80,0.7600,0.622,Fase1_Amorfa
69,136.32,0.7573,0.623,Fase1_Amorfa
70,135.85,0.7547,0.624,Fase1_Amorfa
71,135.38,0.7521,0.624,Fase1_Amorfa
72,134.91,0.7495,0.625,Fase1_Amorfa
73,134.45,0.7470,0.626,Fase1_Amorfa
74,134.00,0.7444,0.627,Fase1_Amorfa
75,133.55,0.7419,0.627,Fase1_Amorfa
76,133.10,0.7395,0.628,Fase1_Amorfa
77,132.66,0.7370,0.629,Fase1_Amorfa
78,132.23,0.7346,0.630,Fase1_Amorfa
79,131.80,0.7322,0.630,Fase1_Amorfa
80,131.37,0.7298,0.631,Fase1_Amorfa
81,130.94,0.7275,0.632,Fase1_Amorfa
82,130.52,0.7251,0.632,Fase1_Amorfa
83,130.11,0.7228,0.633,Fase1_Amorfa
84,129.70,0.7205,0.634,Fase1_Amorfa
85,129.29,0.7183,0.635,Fase1_Amorfa
86,128.89,0.7160,0.635,Fase1_Amorfa
87,128.49,0.7138,0.636,Fase1_Amorfa
88,128.09,0.7116,0.637,Fase1_Amorfa
89,127.70,0.7095,0.637,Fase1_Amorfa
90,127.32,0.7073,0.638,Fase1_Amorfa
91,126.93,0.7052,0.638,Fase1_Amorfa
92,126.55,0.7031,0.639,Fase1_Amorfa
93,126.17,0.7010,0.640,Fase1_Amorfa
94,125.80,0.6989,0.640,Fase1_Amorfa
95,125.43,0.6968,0.641,Fase1_Amorfa
96,125.07,0.6948,0.642,Fase1_Amorfa
97,124.70,0.6928,0.642,Fase1_Amorfa
98,124.34,0.6908,0.643,Fase1_Amorfa
99,123.99,0.6888,0.643,Fase1_Amorfa
100,123.63,0.6869,0.644,Fase1_Amorfa
101,123.28,0.6849,0.645,Fase1_Amorfa
102,122.94,0.6830,0.645,Fase1_Amorfa
103,122.59,0.6811,0.646,Fase1_Amorfa
104,122.25,0.6792,0.646,Fase1_Amorfa
105,121.92,0.6773,0.647,Fase1_Amorfa
106,121.58,0.6755,0.647,Fase1_Amorfa
107,121.25,0.6736,0.648,Fase1_Amorfa
108,120.92,0.6718,0.648,Fase1_Amorfa
109,120.60,0.6700,0.649,Fase1_Amorfa
110,120.28,0.6682,0.650,Fase1_Amorfa
111,119.96,0.6664,0.650,Fase1_Amorfa
112,119.64,0.6647,0.651,Fase1_Amorfa
113,119.33,0.6629,0.651,Fase1_Amorfa
114,119.01,0.6612,0.652,Fase1_Amorfa
115,118.71,0.6595,0.652,Fase1_Amorfa
116,118.40,0.6578,0.653,Fase1_Amorfa
117,118.10,0.6561,0.653,Fase1_Amorfa
118,117.80,0.6544,0.654,Fase1_Amorfa
119,117.50,0.6528,0.654,Fase1_Amorfa
120,117.20,0.6511,0.655,Fase1_Amorfa
121,116.91,0.6495,0.655,Fase1_Amorfa
122,116.62,0.6479,0.656,Fase1_Amorfa
123,116.33,0.6463,0.656,Fase1_Amorfa
124,116.04,0.6447,0.657,Fase1_Amorfa
