# Figura 5: Evolução da Integração Scaffold-Tecido
# t(dias),Mn/Mn0,porosity,cell_density,ecm_fraction,integration_score
0,1.0000,0.6500,100.0,0.0000,0.0882
1,0.9998,0.6520,100.0,0.0000,0.0895
2,0.9992,0.6542,100.0,0.0000,0.0909
3,0.9979,0.6566,133.5,0.0000,0.0924
4,0.9959,0.6592,167.0,0.0000,0.0941
5,0.9931,0.6621,200.6,0.0000,0.0958
6,0.9898,0.6651,234.2,0.0000,0.0976
7,0.9858,0.6683,268.0,0.0000,0.0994
8,0.9813,0.6716,301.9,0.0000,0.1013
9,0.9764,0.6751,335.9,0.0000,0.1033
10,0.9711,0.6787,370.0,0.0000,0.1052
11,0.9655,0.6823,404.2,0.0000,0.1071
12,0.9597,0.6861,438.6,0.0000,0.1090
13,0.9537,0.6899,473.0,0.0000,0.1109
14,0.9476,0.6937,507.6,0.0000,0.1128
15,0.9413,0.6976,542.4,0.0000,0.1147
16,0.9349,0.7015,577.2,0.0000,0.1166
17,0.9285,0.7055,612.1,0.0000,0.1184
18,0.9220,0.7094,647.2,0.0000,0.1202
19,0.9155,0.7133,682.4,0.0000,0.1219
20,0.9090,0.7173,717.6,0.0000,0.1236
21,0.9025,0.7213,753.0,0.0001,0.1253
22,0.8960,0.7252,788.5,0.0001,0.1270
23,0.8894,0.7292,824.0,0.0001,0.1287
24,0.8830,0.7331,859.6,0.0001,0.1303
25,0.8765,0.7370,895.4,0.0001,0.1319
26,0.8701,0.7410,931.1,0.0001,0.1334
27,0.8637,0.7449,967.0,0.0001,0.1350
28,0.8573,0.7488,1002.9,0.0001,0.1365
29,0.8510,0.7527,1038.9,0.0001,0.1380
30,0.8447,0.7566,1075.0,0.0001,0.1396
31,0.8384,0.7605,1111.1,0.0001,0.1410
32,0.8322,0.7643,1147.2,0.0002,0.1425
33,0.8260,0.7682,1183.4,0.0002,0.1440
34,0.8199,0.7720,1219.6,0.0002,0.1454
35,0.8138,0.7759,1255.9,0.0002,0.1468
36,0.8077,0.7797,1292.2,0.0002,0.1482
37,0.8017,0.7835,1328.6,0.0002,0.1495
38,0.7957,0.7873,1365.0,0.0002,0.1509
39,0.7898,0.7911,1401.3,0.0002,0.1522
40,0.7839,0.7948,1437.8,0.0003,0.1536
41,0.7781,0.7986,1474.2,0.0003,0.1549
42,0.7723,0.8023,1510.7,0.0003,0.1562
43,0.7665,0.8061,1547.1,0.0003,0.1574
44,0.7608,0.8098,1583.6,0.0003,0.1587
45,0.7551,0.8135,1620.1,0.0003,0.1599
46,0.7494,0.8172,1656.6,0.0004,0.1612
47,0.7438,0.8209,1693.1,0.0004,0.1624
48,0.7383,0.8245,1729.5,0.0004,0.1636
49,0.7327,0.8282,1766.0,0.0004,0.1648
50,0.7273,0.8318,1802.5,0.0004,0.1660
51,0.7218,0.8355,1839.0,0.0004,0.1672
52,0.7164,0.8391,1875.5,0.0005,0.1683
53,0.7110,0.8427,1911.9,0.0005,0.1695
54,0.7057,0.8463,1948.4,0.0005,0.1706
55,0.7004,0.8499,1984.8,0.0005,0.1717
56,0.6952,0.8535,2021.2,0.0005,0.1728
57,0.6899,0.8570,2057.6,0.0006,0.1740
58,0.6848,0.8606,2094.0,0.0006,0.1751
59,0.6796,0.8641,2130.3,0.0006,0.1761
60,0.6745,0.8676,2166.6,0.0006,0.1772
61,0.6695,0.8712,2202.9,0.0006,0.1783
62,0.6644,0.8747,2239.2,0.0007,0.1794
63,0.6594,0.8782,2275.4,0.0007,0.1804
64,0.6545,0.8817,2311.7,0.0007,0.1815
65,0.6496,0.8851,2347.8,0.0007,0.1825
66,0.6447,0.8886,2384.0,0.0008,0.1835
67,0.6398,0.8921,2420.1,0.0008,0.1845
68,0.6350,0.8955,2456.2,0.0008,0.1855
69,0.6302,0.8989,2492.3,0.0008,0.1866
70,0.6255,0.9024,2528.3,0.0009,0.1876
71,0.6208,0.9058,2564.2,0.0009,0.1885
72,0.6161,0.9092,2600.2,0.0009,0.1895
73,0.6115,0.9126,2636.1,0.0009,0.1905
74,0.6068,0.9159,2671.9,0.0010,0.1915
75,0.6023,0.9193,2707.5,0.0010,0.1924
76,0.5977,0.9227,2743.0,0.0010,0.1934
77,0.5932,0.9260,2778.2,0.0011,0.1943
78,0.5888,0.9294,2813.3,0.0011,0.1953
79,0.5843,0.9327,2848.1,0.0011,0.1962
80,0.5799,0.9360,2882.8,0.0011,0.1971
81,0.5755,0.9393,2917.3,0.0012,0.1981
82,0.5712,0.9426,2951.6,0.0012,0.1990
83,0.5669,0.9459,2985.7,0.0012,0.1999
84,0.5626,0.9492,3019.7,0.0013,0.2008
85,0.5583,0.9500,3053.4,0.0013,0.2011
86,0.5541,0.9500,3086.9,0.0013,0.2013
87,0.5499,0.9500,3120.2,0.0014,0.2015
88,0.5458,0.9500,3153.3,0.0014,0.2017
89,0.5416,0.9500,3186.3,0.0014,0.2018
90,0.5375,0.9500,3219.0,0.0014,0.2020
91,0.5335,0.9500,3251.5,0.0015,0.2022
92,0.5294,0.9500,3283.8,0.0015,0.2024
93,0.5254,0.9500,3316.0,0.0015,0.2026
94,0.5215,0.9500,3347.9,0.0016,0.2027
95,0.5175,0.9500,3379.6,0.0016,0.2029
96,0.5136,0.9500,3411.2,0.0016,0.2031
97,0.5097,0.9500,3442.5,0.0017,0.2033
98,0.5058,0.9500,3473.7,0.0017,0.2035
99,0.5020,0.9500,3504.7,0.0018,0.2036
100,0.4982,0.9500,3535.5,0.0018,0.2038
101,0.4944,0.9500,3566.1,0.0018,0.2040
102,0.4907,0.9500,3596.5,0.0019,0.2042
103,0.4870,0.9500,3626.7,0.0019,0.2043
